date,lat,lon,pr_mm_per_day
2010-01-01,42.340862,-71.01234,6.704999923706055
2010-01-02,42.340862,-71.01234,1.434999942779541
2010-01-03,42.340862,-71.01234,0.22999998927116394
2010-01-04,42.340862,-71.01234,0.13499999046325684
2010-01-05,42.340862,-71.01234,0.0
2010-01-06,42.340862,-71.01234,0.0
2010-01-07,42.340862,-71.01234,0.0
2010-01-08,42.340862,-71.01234,0.5799999833106995
2010-01-09,42.340862,-71.01234,0.0
2010-01-10,42.340862,-71.01234,0.0
2010-01-11,42.340862,-71.01234,0.23999999463558197
2010-01-12,42.340862,-71.01234,6.065000534057617
2010-01-13,42.340862,-71.01234,0.0
2010-01-14,42.340862,-71.01234,0.0
2010-01-15,42.340862,-71.01234,0.0
2010-01-16,42.340862,-71.01234,0.125
2010-01-17,42.340862,-71.01234,8.404999732971191
2010-01-18,42.340862,-71.01234,22.134998321533203
2010-01-19,42.340862,-71.01234,5.439999580383301
2010-01-20,42.340862,-71.01234,0.0
2010-01-21,42.340862,-71.01234,0.0
2010-01-22,42.340862,-71.01234,0.0
2010-01-23,42.340862,-71.01234,0.0949999988079071
2010-01-24,42.340862,-71.01234,0.0
2010-01-25,42.340862,-71.01234,39.6199951171875
2010-01-26,42.340862,-71.01234,1.869999885559082
2010-01-27,42.340862,-71.01234,0.0
2010-01-28,42.340862,-71.01234,0.34999996423721313
2010-01-29,42.340862,-71.01234,0.0
2010-01-30,42.340862,-71.01234,0.0
2010-01-31,42.340862,-71.01234,0.9149999618530273
2010-02-01,42.340862,-71.01234,0.0
2010-02-02,42.340862,-71.01234,0.07000000029802322
2010-02-03,42.340862,-71.01234,0.0
2010-02-04,42.340862,-71.01234,0.0
2010-02-05,42.340862,-71.01234,0.0
2010-02-06,42.340862,-71.01234,1.4749999046325684
2010-02-07,42.340862,-71.01234,0.0
2010-02-08,42.340862,-71.01234,0.0
2010-02-09,42.340862,-71.01234,0.0
2010-02-10,42.340862,-71.01234,2.5849997997283936
2010-02-11,42.340862,-71.01234,0.5499999523162842
2010-02-12,42.340862,-71.01234,0.0
2010-02-13,42.340862,-71.01234,0.0
2010-02-14,42.340862,-71.01234,0.25999999046325684
2010-02-15,42.340862,-71.01234,0.014999999664723873
2010-02-16,42.340862,-71.01234,2.375
2010-02-17,42.340862,-71.01234,2.504999876022339
2010-02-18,42.340862,-71.01234,0.0
2010-02-19,42.340862,-71.01234,0.0
2010-02-20,42.340862,-71.01234,0.0
2010-02-21,42.340862,-71.01234,0.0
2010-02-22,42.340862,-71.01234,0.0
2010-02-23,42.340862,-71.01234,0.014999999664723873
2010-02-24,42.340862,-71.01234,20.594999313354492
2010-02-25,42.340862,-71.01234,26.85999870300293
2010-02-26,42.340862,-71.01234,46.2599983215332
2010-02-27,42.340862,-71.01234,0.014999999664723873
2010-02-28,42.340862,-71.01234,0.0
2010-03-01,42.340862,-71.01234,3.7899999618530273
2010-03-02,42.340862,-71.01234,1.2549999952316284
2010-03-03,42.340862,-71.01234,8.005000114440918
2010-03-04,42.340862,-71.01234,4.125
2010-03-05,42.340862,-71.01234,4.720000743865967
2010-03-06,42.340862,-71.01234,0.07000000029802322
2010-03-07,42.340862,-71.01234,0.03500000014901161
2010-03-08,42.340862,-71.01234,0.04999999701976776
2010-03-09,42.340862,-71.01234,0.059999994933605194
2010-03-10,42.340862,-71.01234,0.0
2010-03-11,42.340862,-71.01234,1.084999918937683
2010-03-12,42.340862,-71.01234,0.8500000238418579
2010-03-13,42.340862,-71.01234,16.28999900817871
2010-03-14,42.340862,-71.01234,48.45500564575195
2010-03-15,42.340862,-71.01234,36.904998779296875
2010-03-16,42.340862,-71.01234,1.0399999618530273
2010-03-17,42.340862,-71.01234,0.0949999988079071
2010-03-18,42.340862,-71.01234,0.10999999940395355
2010-03-19,42.340862,-71.01234,0.17499998211860657
2010-03-20,42.340862,-71.01234,0.0
2010-03-21,42.340862,-71.01234,0.10999999940395355
2010-03-22,42.340862,-71.01234,3.3550000190734863
2010-03-23,42.340862,-71.01234,76.28499603271484
2010-03-24,42.340862,-71.01234,3.0949997901916504
2010-03-25,42.340862,-71.01234,0.3149999976158142
2010-03-26,42.340862,-71.01234,11.044999122619629
2010-03-27,42.340862,-71.01234,0.02499999850988388
2010-03-28,42.340862,-71.01234,0.07999999821186066
2010-03-29,42.340862,-71.01234,118.08999633789062
2010-03-30,42.340862,-71.01234,118.52500915527344
2010-03-31,42.340862,-71.01234,5.789999485015869
2010-04-01,42.340862,-71.01234,0.004999999888241291
2010-04-02,42.340862,-71.01234,0.0
