date,location_id,lat,lon,pr_mm_per_day
2010-01-02,01115278,41.796791,-71.66943,0.3790290983333369
2010-01-02,01115280,41.80398,-71.649787,0.49114707464454194
2010-01-02,01115500,41.732869,-71.549784,1.5985705780556443
2010-01-02,01115630,41.626758,-71.632564,0.3040133472426325
2010-01-02,01116000,41.690092,-71.565895,1.0172982505513113
2010-01-02,01116500,41.750925,-71.445057,1.3785456720368772
2010-01-02,01116905,41.629991,-71.478888,0.587411658043207
2010-01-02,01117000,41.641204,-71.444501,0.6020451436001535
2010-01-02,01117350,41.482196,-71.551151,0.4085634011091427
2010-01-02,01117370,41.538981,-71.568672,0.297698131947732
2010-01-02,01117420,41.476641,-71.604763,0.4881712405320697
2010-01-02,01117430,41.446086,-71.621153,0.598204046040313
2010-01-02,01117468,41.492592,-71.628119,0.46267671308124286
2010-01-02,01117500,41.444975,-71.680877,0.5615404696936236
2010-01-02,01117800,41.57398,-71.720622,0.3423154354427565
2010-01-02,01118000,41.498147,-71.716455,0.4216120625520219
2010-01-02,01118300,41.474814,-71.834235,0.39975732660672225
2010-01-02,01118500,41.385254,-71.832549,0.5994672805993133
2010-01-02,01123360,42.108366,-72.12613,1.4920981286188573
2010-01-02,01123600,42.082611,-72.05838,1.4463443714697592
2010-01-02,01124000,42.022193,-71.955604,1.6765996903587563
2010-01-02,01124151,41.943558,-71.899596,0.5650636642571442
2010-01-02,01125100,41.978455,-71.900513,0.948291003659796
2010-01-02,01125490,41.927836,-71.930008,0.5735402709250103
2010-01-02,01125500,41.909466,-71.913863,0.40991621626737473
2010-01-02,01127000,41.597483,-71.984094,0.2327438462270987
2010-01-02,8444069,42.340862,-71.01234,1.1289876569893416
2010-01-02,8447386,41.7043,-71.1641,0.9918935334926028
2010-01-02,8447387,41.705,-71.1733,1.034866924789284
2010-01-02,8447412,41.695835,-71.17983,1.0120974888736494
2010-01-02,8447627,41.624443,-70.90544,0.29805679883603686
2010-01-02,8447636,41.6212,-70.9137,0.27928322520299664
2010-01-02,8452314,41.605118,-71.30424,0.6757696091095999
2010-01-02,8452660,41.504333,-71.32614,0.4326406141022822
2010-01-02,8452944,41.7167,-71.3433,1.7584281125475871
2010-01-02,8452951,41.637165,-71.33928,0.6965100361274978
2010-01-02,8453662,41.785694,-71.38308,1.559509442915008
2010-01-02,8454000,41.807167,-71.400665,1.167063852642605
